country_code,country_name,year,debt_to_gdp,electricity_access,exports_to_gdp,fdi_pct_gdp,gdp_growth,imports_to_gdp,industry_value_added,inflation,real_interest_rate,unemployment,debt_to_gdp_score,inflation_score,imports_to_gdp_score,unemployment_score,gdp_growth_score,electricity_access_score,fdi_pct_gdp_score,debt_sustainability,macro_stability,external_vulnerability,growth_capacity,development_capacity,sovereign_risk_score,risk_band,fx_change,fx_volatility,inflation_change,fx_pressure_score,fx_volatility_score,inflation_pressure_score,debt_pressure_score,market_risk_score,composite_risk_score,composite_risk_band
EGY,Egypt,2020,,100.0,12.4727757370868,,3.55016483786838,19.6534798296655,32.3694442999707,5.04493288977539,4.88781543020781,7.974,,14.120825829211404,2.0542728777654644,18.222655022931463,51.41529897423176,0.0,,,14.120825829211402,2.0542728777654644,36.00442856827091,0.0,18.925737343684947,Low Risk,1.967999999999992,2.841879895696053,-4.107866703472651,83.16307806892237,4.099977375147838,35.39427572351743,,,,Unknown
EGY,Egypt,2021,,100.0,10.5611502153652,,3.29064601202211,19.295823265447,31.1876357851451,5.21404940513043,4.36620669870869,7.441,,14.56010876113519,0.9977029472480841,16.54834453728718,52.68645172882644,0.0,,,14.56010876113519,0.9977029472480841,35.90804481846892,0.0,18.81587717624324,Low Risk,0.20398556409855217,2.787744873559984,0.16911651535504024,80.66105269552455,3.971117753839806,46.276060288689365,,,,Unknown
EGY,Egypt,2022,,100.0,15.0870258208479,,6.58784560886967,21.8960790564233,32.7114314313038,13.8956609775178,0.142669652477037,6.546,,37.110737700806794,8.67923980482647,13.736885091411702,36.53639272515331,0.0,,,37.110737700806794,8.679239804826471,25.950907038058993,0.0,22.040728725560175,Low Risk,-36.70529282806139,17.778758305604445,8.68161157238737,28.31003494220502,39.65478865031471,67.9341151800309,,,,Unknown
EGY,Egypt,2023,,100.0,19.1060913405676,,3.76028052279247,21.3443094314355,32.7344752545444,33.8847763115546,-5.64166239964291,6.753,,89.03279375821765,7.049231431825365,14.38713325375385,50.38612842830374,0.0,,,89.03279375821765,7.049231431825365,33.67230924011986,0.0,38.67655475813498,Moderate Risk,-19.940623453735775,8.557661049461661,19.989115334036804,52.088541113983155,17.70546539180621,96.70341672006988,,,,Unknown
EGY,Egypt,2024,,,16.3762422101126,,2.3991692678251,23.2245098772607,32.5624789967949,28.2705899322083,-7.03099094109369,6.817,,74.4498522406001,12.603619224888924,14.588176163849976,57.05300631440549,,,,74.4498522406001,12.603619224888924,37.33719231593329,,43.73762337716554,Moderate Risk,-39.153275648949325,32.184548926783044,-5.614186379346304,24.83788924608793,73.94543176526496,31.56179723097157,,,,Unknown
EGY,Egypt,2025,,,,,,,,,,6.781,,,,14.475089526920904,,,,,,,14.475089526920904,,,Unknown,6.602336211274773,3.345381450580118,,89.73628209349177,5.2984809894492555,,,,,Unknown
GHA,Ghana,2010,,64.2,29.4767179831573,7.84948455261709,7.89971194051621,45.901097808525,18.0149428066597,10.7333898354915,,5.384,,28.896686365306117,79.593584828512,10.086699754978955,30.110722079894103,39.64562569213732,18.86223896027256,,28.896686365306117,51.98842761567589,20.81385457189778,39.64562569213732,33.8862813724986,Moderate Risk,,,,,,,,,,Unknown
GHA,Ghana,2011,,64.1,36.9366085502594,8.2558797134245,14.0471235803149,49.3588453047101,23.8636600934779,8.7284593709302,,4.213,,23.688846486824627,89.80827790921565,6.408242759313943,0.0,39.75636766334441,14.676849530085468,,23.688846486824627,55.657628645974654,2.9752555668243303,39.75636766334441,27.32997307024117,Low Risk,,,-2.0049304645613013,,,40.744705672690486,,,,Unknown
GHA,Ghana,2012,,56.5,40.3592181740371,7.98251565917851,9.2927894063005,52.808816954646,27.1365335859295,11.1863409441067,,3.126,,30.073234324521643,100.0,2.9936545831500907,23.287270053934193,48.17275747508306,17.49217592560931,,30.07323432452164,62.49644360254969,13.865234299641573,48.17275747508306,35.72043733638817,Moderate Risk,,,2.4578815731765005,,,52.099288252238175,,,,Unknown
GHA,Ghana,2013,,70.7,25.4407833967285,5.13479660884921,7.31252501678145,35.318538506149,34.0898222065997,11.6661923071729,,2.173,,31.31965613739317,48.33115302822021,0.0,32.986830482178405,32.44739756367663,46.82031356807246,,31.319656137393174,47.644407819062145,17.671516329738427,32.44739756367663,31.169323273870347,Low Risk,,,0.47985136306619935,,,47.06665251145033,,,,Unknown
